review_text,rating,product_id,seller_id,category,date,product_name
"Solid piece of equipment, well built and sturdy.",5,P1008,S404,Sports,2024-09-29,Hercules Dumbbell Set
"The instructions were not clear at all, took hours to figure out.",2,P1009,S403,Electronics,2023-11-17,PowerLink Portable Charger
Very durable and exactly what I needed for hiking.,4,P1010,S401,Fashion,2024-02-15,All-Weather Hiking Boots
I absolutely love this shirt! It fits true to size.,5,P1002,S401,Fashion,2024-08-10,FlexFit Running Tights
"It gets the job done, nothing spectacular, nothing bad.",3,P1001,S402,Electronics,2024-06-25,Aura X-Pro Smartphone
The material feels cheap and plastic-y. Expected better for the price.,2,P1003,S405,Home Goods,2023-09-05,Geo-Woven Throw Blanket
"Interesting premise, but the ending fell flat for me.",3,P1004,S403,Books,2024-01-20,The Silent Observer (Book)
"Excellent quality vegetables, fresh and vibrant.",5,P1005,S404,Groceries,2024-07-07,Organic Valley Cashews
"Nice scent, but doesn't last long on the skin.",4,P1006,S402,Beauty,2024-03-14,Radiant Glow Serum
Stopped working after two weeks. Terrible lifespan.,1,P1007,S405,Electronics,2024-04-20,4K Ultra Curved Monitor
Improved my workout routine significantly. Great purchase.,5,P1008,S404,Sports,2024-10-18,Hercules Dumbbell Set
The setup process was seamless and easy to follow.,5,P1009,S403,Electronics,2024-02-01,PowerLink Portable Charger
Too bulky and heavy to carry around every day.,2,P1010,S401,Fashion,2023-10-10,All-Weather Hiking Boots
Beautiful design and very comfortable to wear.,5,P1002,S401,Fashion,2024-03-01,FlexFit Running Tights
"Sound quality is good, but the microphone is terrible.",3,P1001,S402,Electronics,2023-12-12,Aura X-Pro Smartphone
Perfect addition to my kitchen. Looks very modern.,5,P1003,S405,Home Goods,2024-05-15,Geo-Woven Throw Blanket
Very informative and well-researched textbook.,4,P1004,S403,Books,2024-07-25,The Silent Observer (Book)
Item arrived damaged due to poor packaging.,1,P1005,S404,Groceries,2023-11-20,Organic Valley Cashews
It dried out my hair. Did not live up to the hype.,2,P1006,S402,Beauty,2024-01-05,Radiant Glow Serum
"A little buggy on the software side, needs updates.",3,P1007,S405,Electronics,2024-08-17,4K Ultra Curved Monitor
The resistance bands snapped within a month of use.,1,P1008,S404,Sports,2023-10-30,Hercules Dumbbell Set
Super fast delivery and great customer service interaction.,5,P1009,S403,Electronics,2024-05-28,PowerLink Portable Charger
"Colour fades too quickly, even with gentle washing.",2,P1010,S401,Fashion,2024-03-21,All-Weather Hiking Boots
"Fits well, but the zipper feels cheap and sticky.",3,P1002,S401,Fashion,2024-09-22,FlexFit Running Tights
Excellent value for a budget device. Very responsive.,4,P1001,S402,Electronics,2024-04-10,Aura X-Pro Smartphone
"The wood grain looks cheap, not like the photos.",2,P1003,S405,Home Goods,2024-01-29,Geo-Woven Throw Blanket
Couldn't put it down! A real page-turner.,5,P1004,S403,Books,2023-10-02,The Silent Observer (Book)
The portion size is generous and it tasted great.,5,P1005,S404,Groceries,2024-05-01,Organic Valley Cashews
Didn't see any noticeable results after using the whole bottle.,3,P1006,S402,Beauty,2024-06-10,Radiant Glow Serum
Heats up way too much when running complex applications.,2,P1007,S405,Electronics,2023-12-24,4K Ultra Curved Monitor
"Solid treadmill, very quiet operation.",5,P1008,S404,Sports,2024-07-19,Hercules Dumbbell Set
Battery drained very fast. Have to recharge constantly.,1,P1009,S403,Electronics,2024-01-08,PowerLink Portable Charger
Received the wrong size. Frustrating returns process.,2,P1010,S401,Fashion,2023-09-19,All-Weather Hiking Boots
"Absolutely amazing quality, worth every penny.",5,P1002,S401,Fashion,2024-10-12,FlexFit Running Tights
Works perfectly. No issues whatsoever. Highly satisfied.,5,P1001,S402,Electronics,2024-08-01,Aura X-Pro Smartphone
Had a weird chemical smell that wouldn't go away.,1,P1003,S405,Home Goods,2024-02-18,Geo-Woven Throw Blanket
A must-read for anyone interested in history.,5,P1004,S403,Books,2024-05-23,The Silent Observer (Book)
It was stale when it arrived. Very disappointing.,1,P1005,S404,Groceries,2024-01-15,Organic Valley Cashews
"I liked the light feeling, but it didn't moisturize much.",3,P1006,S402,Beauty,2023-11-05,Radiant Glow Serum
Camera quality is surprisingly good for the price point.,4,P1007,S405,Electronics,2024-03-05,4K Ultra Curved Monitor
"The yoga mat is too thin, I can feel the floor beneath.",2,P1008,S404,Sports,2024-06-29,Hercules Dumbbell Set
"Easy to carry around, very lightweight and portable.",5,P1009,S403,Electronics,2023-10-08,PowerLink Portable Charger
The stitching came undone quickly. Poor craftsmanship.,1,P1010,S401,Fashion,2024-04-29,All-Weather Hiking Boots
"Great everyday jacket, super versatile.",4,P1002,S401,Fashion,2024-01-22,FlexFit Running Tights
I've had better performance from older models.,2,P1001,S402,Electronics,2023-10-09,Aura X-Pro Smartphone
The instruction manual was difficult to follow.,3,P1003,S405,Home Goods,2024-07-02,Geo-Woven Throw Blanket
"A good book, but it wasn't as exciting as I hoped.",3,P1004,S403,Books,2024-09-18,The Silent Observer (Book)
"The delivery was slow, but the product itself is fine.",4,P1005,S404,Groceries,2023-12-01,Organic Valley Cashews
Made my skin break out. Definitely not hypoallergenic.,1,P1006,S402,Beauty,2024-04-14,Radiant Glow Serum
The resolution is stunning! Couldn't ask for better display.,5,P1007,S405,Electronics,2024-10-25,4K Ultra Curved Monitor
Got a minor injury using this. Feels poorly designed.,1,P1008,S404,Sports,2024-03-10,Hercules Dumbbell Set
It overheated during its first major usage.,2,P1009,S403,Electronics,2024-07-16,PowerLink Portable Charger
"Held up well in the rain, waterproof feature works.",5,P1010,S401,Fashion,2023-11-10,All-Weather Hiking Boots
Very flattering cut and excellent fabric drape.,5,P1002,S401,Fashion,2024-06-08,FlexFit Running Tights
"It's okay, but the price is too high for the features offered.",3,P1001,S402,Electronics,2024-02-20,Aura X-Pro Smartphone
"This solved all my storage problems, very satisfied.",5,P1003,S405,Home Goods,2023-12-05,Geo-Woven Throw Blanket
The binding came loose after reading only half of it.,2,P1004,S403,Books,2024-02-25,The Silent Observer (Book)
Freshness seal was broken upon arrival.,1,P1005,S404,Groceries,2024-06-01,Organic Valley Cashews
Loved the smell and texture. My new favorite product.,5,P1006,S402,Beauty,2024-09-08,Radiant Glow Serum
Takes forever to boot up. Very slow operating system.,1,P1007,S405,Electronics,2024-01-01,4K Ultra Curved Monitor
"Great for home workouts, doesn't take up much space.",5,P1008,S404,Sports,2023-11-15,Hercules Dumbbell Set
Unexpectedly great performance for a lower-end model.,4,P1009,S403,Electronics,2024-03-25,PowerLink Portable Charger
The color bleeds onto other clothes in the wash.,2,P1010,S401,Fashion,2024-05-05,All-Weather Hiking Boots
"Comfortable and stylish, perfect for weekend trips.",5,P1002,S401,Fashion,2023-10-20,FlexFit Running Tights
"Reliable device, solid connection and long cable.",4,P1001,S402,Electronics,2024-07-12,Aura X-Pro Smartphone
"The assembly was a nightmare, missing screws.",1,P1003,S405,Home Goods,2024-04-01,Geo-Woven Throw Blanket
Deeply philosophical and moving. A profound experience.,5,P1004,S403,Books,2024-08-08,The Silent Observer (Book)
"Tasted bland, lacked any real flavor or seasoning.",2,P1005,S404,Groceries,2023-09-29,Organic Valley Cashews
"A decent lip balm, nothing groundbreaking.",3,P1006,S402,Beauty,2024-02-10,Radiant Glow Serum
Very intuitive design and easy to set up.,5,P1007,S405,Electronics,2024-06-15,4K Ultra Curved Monitor
Perfect resistance for my physiotherapy exercises.,5,P1008,S404,Sports,2023-12-28,Hercules Dumbbell Set
"The screen is easily scratched, even with careful use.",2,P1009,S403,Electronics,2024-04-25,PowerLink Portable Charger
It shrunk significantly after the first cold wash.,2,P1010,S401,Fashion,2024-08-29,All-Weather Hiking Boots
"My favorite jeans now, incredible fit and quality.",5,P1002,S401,Fashion,2023-11-28,FlexFit Running Tights
Excellent storage capacity for all my files.,5,P1001,S402,Electronics,2024-03-18,Aura X-Pro Smartphone
"Looks great on the shelf, but not very practical to use.",3,P1003,S405,Home Goods,2024-09-05,Geo-Woven Throw Blanket
"Full of typographical errors, distracting to read.",1,P1004,S403,Books,2023-11-13,The Silent Observer (Book)
The expiration date was actually correct this time!,4,P1005,S404,Groceries,2024-08-25,Organic Valley Cashews
Gave me an oily shine instead of a matte finish.,2,P1006,S402,Beauty,2024-07-22,Radiant Glow Serum
Highly durable and survives accidental drops easily.,5,P1007,S405,Electronics,2023-10-18,4K Ultra Curved Monitor
The instructions for setting up the machine were terrible.,1,P1008,S404,Sports,2024-05-08,Hercules Dumbbell Set
Works great with all my accessories and peripherals.,5,P1009,S403,Electronics,2024-09-11,PowerLink Portable Charger
"It smells strongly of plastic, even after airing out.",1,P1010,S401,Fashion,2024-01-04,All-Weather Hiking Boots
